epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1625,0.99687,4.62864,0.95641,0.02824,0.16413,0.05069,0.04162,0.66694,4.04279,0.83999,5.65258e-05,5.65258e-05,5.65258e-05
2,31.1483,0.64534,2.61631,0.86611,0.99405,0.17833,0.23146,0.20476,0.52255,1.60339,0.82658,0.000111605,0.000111605,0.000111605
3,46.2357,0.49861,1.22818,0.8367,0.41104,0.47433,0.43827,0.38823,0.42687,0.78652,0.79886,0.000164413,0.000164413,0.000164413
4,61.3425,0.44623,0.85445,0.82734,0.57751,0.75896,0.69413,0.64526,0.31744,0.57354,0.77714,0.000161783,0.000161783,0.000161783
5,76.4051,0.40058,0.7156,0.8205,0.76201,0.85881,0.85578,0.76789,0.42018,0.52814,0.79498,0.000158378,0.000158378,0.000158378
6,91.4726,0.36975,0.63236,0.81369,0.84537,0.92523,0.92453,0.83826,0.38669,0.4344,0.78927,0.000154972,0.000154972,0.000154972
7,106.468,0.37151,0.57715,0.81061,0.899,0.94106,0.94427,0.89791,0.27063,0.38298,0.77014,0.000151566,0.000151566,0.000151566
8,121.544,0.35243,0.52872,0.80672,0.92085,0.97445,0.96015,0.91149,0.26692,0.35259,0.76802,0.000148161,0.000148161,0.000148161
9,136.616,0.3417,0.50092,0.80528,0.94022,0.97739,0.96508,0.92401,0.26468,0.329,0.76905,0.000144755,0.000144755,0.000144755
10,151.65,0.33499,0.47536,0.80625,0.9348,0.97565,0.97012,0.91799,0.31642,0.32448,0.77844,0.00014135,0.00014135,0.00014135
11,166.619,0.32875,0.45716,0.80386,0.94468,0.97797,0.97665,0.92203,0.3246,0.32977,0.77995,0.000137944,0.000137944,0.000137944
12,181.604,0.32739,0.44399,0.80367,0.95588,0.98645,0.97921,0.94512,0.25445,0.29062,0.76738,0.000134538,0.000134538,0.000134538
13,196.69,0.31263,0.42887,0.80316,0.93401,0.98697,0.97985,0.94007,0.26274,0.28976,0.76727,0.000131133,0.000131133,0.000131133
14,211.664,0.31152,0.41598,0.80259,0.95161,0.98672,0.98165,0.94528,0.25923,0.2774,0.76723,0.000127727,0.000127727,0.000127727
15,226.731,0.30376,0.40381,0.80181,0.95225,0.98927,0.98218,0.96013,0.22515,0.26369,0.76234,0.000124322,0.000124322,0.000124322
16,241.804,0.29704,0.39399,0.79861,0.96573,0.98651,0.98252,0.95674,0.22975,0.25715,0.76264,0.000120916,0.000120916,0.000120916
17,256.774,0.29324,0.39262,0.79864,0.96984,0.98574,0.98216,0.95315,0.23452,0.24859,0.76284,0.00011751,0.00011751,0.00011751
18,271.751,0.2908,0.37926,0.79745,0.96294,0.98726,0.98192,0.96174,0.2143,0.23866,0.76011,0.000114105,0.000114105,0.000114105
19,286.704,0.28736,0.37522,0.79755,0.96303,0.99228,0.98317,0.96408,0.22044,0.24902,0.76132,0.000110699,0.000110699,0.000110699
20,301.737,0.28265,0.36351,0.79469,0.96201,0.99414,0.98322,0.96158,0.2323,0.24222,0.76101,0.000107294,0.000107294,0.000107294
21,316.702,0.28177,0.35825,0.79482,0.97764,0.98389,0.98417,0.96137,0.22369,0.23409,0.76047,0.000103888,0.000103888,0.000103888
22,331.674,0.28004,0.35524,0.79517,0.97807,0.98548,0.98436,0.96312,0.21952,0.23086,0.76079,0.000100482,0.000100482,0.000100482
23,346.646,0.27315,0.35167,0.7945,0.97685,0.98515,0.98592,0.97103,0.20816,0.22449,0.75864,9.70768e-05,9.70768e-05,9.70768e-05
24,361.63,0.27466,0.34793,0.79474,0.97861,0.9889,0.99044,0.97143,0.22094,0.22678,0.76123,9.36712e-05,9.36712e-05,9.36712e-05
25,376.666,0.27185,0.3443,0.79418,0.97703,0.99327,0.99065,0.97591,0.20267,0.2168,0.75732,9.02656e-05,9.02656e-05,9.02656e-05
26,391.754,0.26684,0.33498,0.79293,0.97437,0.99248,0.99305,0.97682,0.21187,0.21735,0.75898,8.686e-05,8.686e-05,8.686e-05
27,406.825,0.26746,0.33636,0.79289,0.98304,0.99031,0.99281,0.98069,0.20251,0.21453,0.7574,8.34544e-05,8.34544e-05,8.34544e-05
28,421.877,0.26633,0.33382,0.79398,0.9893,0.99269,0.99429,0.98028,0.20335,0.21048,0.75768,8.00488e-05,8.00488e-05,8.00488e-05
29,436.838,0.25908,0.3283,0.79031,0.99047,0.99317,0.9945,0.97525,0.21654,0.21381,0.75878,7.66432e-05,7.66432e-05,7.66432e-05
30,451.843,0.25571,0.32149,0.79333,0.9891,0.99544,0.99478,0.98313,0.19531,0.20699,0.75697,7.32376e-05,7.32376e-05,7.32376e-05
31,467.053,0.26265,0.32555,0.79323,0.98363,0.99491,0.99487,0.9837,0.19713,0.20227,0.75674,6.9832e-05,6.9832e-05,6.9832e-05
32,482.081,0.26219,0.32452,0.79278,0.9917,0.99742,0.99496,0.98344,0.19536,0.20348,0.75625,6.64264e-05,6.64264e-05,6.64264e-05
33,497.05,0.25409,0.315,0.79145,0.99043,0.99373,0.99494,0.98492,0.19527,0.20179,0.75646,6.30208e-05,6.30208e-05,6.30208e-05
34,512.11,0.25126,0.31003,0.78999,0.99053,0.99582,0.99496,0.98444,0.1931,0.19861,0.7563,5.96152e-05,5.96152e-05,5.96152e-05
35,527.081,0.25178,0.3112,0.79101,0.99384,0.997,0.99498,0.98571,0.19289,0.19909,0.7563,5.62096e-05,5.62096e-05,5.62096e-05
36,542.139,0.25365,0.30681,0.79199,0.99256,0.99488,0.99493,0.9837,0.19949,0.20006,0.75658,5.2804e-05,5.2804e-05,5.2804e-05
37,557.106,0.24529,0.30535,0.79056,0.99458,0.99823,0.99498,0.98468,0.19226,0.195,0.75612,4.93984e-05,4.93984e-05,4.93984e-05
38,572.092,0.24405,0.29961,0.78929,0.99439,0.99376,0.995,0.98532,0.19254,0.19311,0.75589,4.59928e-05,4.59928e-05,4.59928e-05
39,587.061,0.24776,0.30148,0.78996,0.99382,0.99782,0.995,0.9858,0.18734,0.1899,0.75543,4.25872e-05,4.25872e-05,4.25872e-05
40,602.142,0.2423,0.29761,0.78937,0.99196,0.99628,0.99498,0.98619,0.18577,0.18904,0.75541,3.91816e-05,3.91816e-05,3.91816e-05
41,618.317,0.2323,0.27502,0.77576,0.99535,0.99263,0.995,0.98135,0.20032,0.20007,0.75499,3.5776e-05,3.5776e-05,3.5776e-05
42,632.908,0.21651,0.24748,0.77473,0.99304,0.99748,0.995,0.98442,0.20096,0.19568,0.7553,3.23704e-05,3.23704e-05,3.23704e-05
43,647.505,0.21517,0.24255,0.77445,0.99549,0.99785,0.995,0.98494,0.19253,0.19219,0.75463,2.89648e-05,2.89648e-05,2.89648e-05
44,662.105,0.21301,0.24061,0.77273,0.99575,0.99773,0.995,0.98431,0.1948,0.18965,0.75522,2.55592e-05,2.55592e-05,2.55592e-05
45,676.666,0.2091,0.23573,0.77447,0.99581,0.99655,0.995,0.98575,0.19097,0.18544,0.75473,2.21536e-05,2.21536e-05,2.21536e-05
46,691.308,0.20546,0.23257,0.77274,0.99628,0.99651,0.995,0.98577,0.188,0.18364,0.75441,1.8748e-05,1.8748e-05,1.8748e-05
47,705.963,0.20487,0.22882,0.77265,0.99627,0.99646,0.995,0.98626,0.187,0.18312,0.75442,1.53424e-05,1.53424e-05,1.53424e-05
48,720.698,0.20196,0.22747,0.77259,0.99632,0.99778,0.995,0.98664,0.18627,0.18177,0.75455,1.19368e-05,1.19368e-05,1.19368e-05
49,735.337,0.20232,0.22771,0.77314,0.9956,0.99801,0.99498,0.98759,0.1864,0.18213,0.75435,8.5312e-06,8.5312e-06,8.5312e-06
50,750.051,0.20111,0.22551,0.77365,0.99591,0.99794,0.995,0.98694,0.18754,0.18065,0.7545,5.1256e-06,5.1256e-06,5.1256e-06
