epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0682,1.0022,4.64317,0.95895,0.02888,0.15797,0.05053,0.04223,0.64915,4.03295,0.8407,5.65258e-05,5.65258e-05,5.65258e-05
2,30.9746,0.64015,2.63097,0.86312,0.8984,0.1888,0.23617,0.20677,0.54243,1.76949,0.82733,0.000111605,0.000111605,0.000111605
3,45.9967,0.49146,1.19951,0.83681,0.48424,0.44435,0.40187,0.36255,0.40648,0.78662,0.79315,0.000164413,0.000164413,0.000164413
4,61.0445,0.43707,0.84935,0.82553,0.63931,0.6828,0.64505,0.59749,0.32504,0.59065,0.77592,0.000161783,0.000161783,0.000161783
5,76.0094,0.38832,0.70803,0.8185,0.77542,0.81837,0.8332,0.77634,0.30062,0.49138,0.7713,0.000158378,0.000158378,0.000158378
6,91.0454,0.38143,0.63437,0.81525,0.8024,0.89758,0.90429,0.84829,0.29154,0.44202,0.77153,0.000154972,0.000154972,0.000154972
7,106.083,0.35922,0.56325,0.80884,0.88374,0.94345,0.94291,0.88336,0.29335,0.38278,0.77106,0.000151566,0.000151566,0.000151566
8,121.117,0.34935,0.53044,0.80641,0.9206,0.95681,0.96387,0.90614,0.28789,0.35507,0.7692,0.000148161,0.000148161,0.000148161
9,136.197,0.34055,0.50356,0.80591,0.9348,0.96986,0.9746,0.92938,0.26443,0.32473,0.76616,0.000144755,0.000144755,0.000144755
10,151.262,0.32357,0.47198,0.80377,0.95415,0.97628,0.98042,0.93327,0.28048,0.31608,0.77028,0.00014135,0.00014135,0.00014135
11,166.277,0.31893,0.44969,0.8028,0.95573,0.97254,0.97853,0.94092,0.25288,0.30557,0.76314,0.000137944,0.000137944,0.000137944
12,181.24,0.31418,0.43589,0.8022,0.96237,0.98448,0.98004,0.95134,0.23623,0.2805,0.76175,0.000134538,0.000134538,0.000134538
13,196.18,0.31286,0.42038,0.80063,0.96178,0.97943,0.98407,0.94689,0.24491,0.28598,0.76195,0.000131133,0.000131133,0.000131133
